Body Type,Club,Club (group),Contract Valid Until,Height,ID,Jersey Number,Joined,Loaned From,Name,Nationality,Play|Not_Play,Position,Preferred Foot,Release Clause,Value,Wage,Weight,Work Rate,Acceleration,Age,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,F1,Finishing,FK Accuracy,GK calculation,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,International Reputation,Jumping,Long Passing,Long Shots,Marking,Number of Records,Overall,Penalties,Positioning,Potential,Reactions,Short Passing,Shot Power,Skill Moves,Sliding Tackle,Special,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot
Normal,FC Bayern München,FC Bayern München,2021,6'0,188545,9,01-07-2014,,R. Lewandowski,Poland,Yes,ST,Right,€127.1M,€77M,€205K,176lbs,High/ Medium,77,29,80,78,78,89,86,62,77,85,10,91,86,High,15,6,12,8,10,85,39,4,84,65,84,34,1,90,88,91,90,90,83,88,4,19,2152,78,78,42,84,77,89,4
Normal,Real Madrid,Europe league,2022,6'0,182521,8,17-07-2014,,T. Kroos,Germany,Yes,LCM,Right,€156.8M,€76.5M,€355K,168lbs,Medium/ Medium,64,28,60,70,71,90,85,88,86,81,11,76,84,Low,10,11,13,7,10,54,82,4,30,93,92,72,1,90,73,79,90,89,92,87,3,69,2190,62,75,79,73,86,82,5
Lean,Atlético Madrid,Atlético Madrid,2019,6'2,182493,10,04-08-2010,,D. Godín,Uruguay,Yes,CB,Right,€90.2M,€44M,€125K,172lbs,Medium/ High,68,32,89,58,54,76,82,55,49,53,12,42,51,High,6,8,15,5,15,92,88,3,91,70,43,90,1,90,50,48,90,85,79,67,2,89,1946,68,66,89,88,52,47,3
Normal,Manchester City,Manchester City,2020,5'8,168542,21,14-07-2010,,David Silva,Spain,Yes,LCM,Left,€111M,€60M,€285K,148lbs,High/ Medium,70,32,57,92,90,94,93,84,82,89,13,76,77,Low,6,15,7,6,12,54,50,4,64,87,75,59,1,90,75,89,90,90,93,72,4,29,2115,64,78,53,52,92,82,2
Lean,Chelsea,Europe league,2023,5'6,215914,13,16-07-2016,,N. Kanté,France,Yes,LDM,Right,€121.3M,€63M,€225K,159lbs,Medium/ High,82,27,90,82,92,80,85,68,49,79,14,65,49,Low,15,12,10,7,10,54,92,3,77,81,69,90,1,89,54,71,90,93,86,71,2,85,2189,78,96,91,76,79,56,3
Normal,Juventus,Europe league,2022,5'10,211110,21,01-07-2015,,P. Dybala,Argentina,Yes,LF,Left,€153.5M,€89M,€205K,165lbs,High/ Medium,87,24,48,91,85,92,84,82,88,92,15,84,88,High,5,4,4,5,8,68,32,3,75,75,88,23,1,89,86,84,94,86,87,82,4,20,2092,83,80,20,65,87,88,3
Normal,Tottenham Hotspur,Tottenham Hotspur,2024,6'2,202126,9,01-07-2010,,H. Kane,England,Yes,ST,Right,€160.7M,€83.5M,€205K,196lbs,High/ High,68,24,76,71,71,84,89,75,78,80,16,94,68,High,8,10,11,14,11,85,35,3,78,82,85,56,1,89,90,93,91,91,80,88,3,38,2165,72,89,36,84,80,84,4
Lean,Atlético Madrid,Atlético Madrid,2023,5'9,194765,7,28-07-2014,,A. Griezmann,France,Yes,CAM,Left,€165.8M,€78M,€145K,161lbs,High/ High,88,27,69,90,80,90,87,82,84,88,17,90,78,High,14,8,14,13,14,84,35,4,90,76,82,59,1,89,79,91,90,90,83,80,4,48,2246,85,83,47,62,83,87,3
Normal,FC Barcelona,Europe league,2022,6'2,192448,22,01-07-2014,,M. ter Stegen,Germany,Yes,GK,Right,€123.3M,€58M,€240K,187lbs,Medium/ Medium,38,26,43,37,43,18,69,15,18,17,18,14,12,High,87,85,88,85,90,11,22,3,79,42,10,25,1,89,25,11,92,85,36,22,1,10,1328,50,35,13,79,69,14,4
Courtois,Real Madrid,Europe league,2024,6'6,192119,1,09-08-2018,,T. Courtois,Belgium,Yes,GK,Left,€113.7M,€53.5M,€240K,212lbs,Medium/ Medium,46,26,23,61,45,23,66,14,19,13,19,14,20,Low,85,91,72,86,88,13,15,4,68,35,17,20,1,89,27,13,90,84,33,36,1,16,1311,52,38,18,70,44,12,2
Lean,FC Barcelona,Europe league,2023,6'2,189511,5,01-09-2008,,Sergio Busquets,Spain,Yes,CDM,Right,€105.6M,€51.5M,€315K,168lbs,Medium/ Medium,50,29,85,66,52,88,90,62,66,80,20,67,68,High,5,8,13,9,13,68,87,4,66,82,54,90,1,89,60,77,89,87,89,61,3,80,2065,52,86,86,77,87,44,3
Lean,Paris Saint-Germain,Europe league,2020,6'1,179813,21,16-07-2013,,E. Cavani,Uruguay,Yes,LS,Right,€111M,€60M,€200K,170lbs,High/ High,75,31,84,77,59,82,82,70,77,80,21,89,76,High,12,5,13,13,10,89,48,4,88,52,79,52,1,89,85,93,89,91,78,87,3,39,2161,76,92,45,78,77,90,4
Normal,FC Bayern München,FC Bayern München,2021,6'4,167495,1,01-07-2011,,M. Neuer,Germany,Yes,GK,Right,€62.7M,€38M,€130K,203lbs,Medium/ Medium,54,32,29,51,35,48,70,15,14,30,22,13,11,High,90,86,91,87,87,25,30,5,77,59,16,17,1,89,47,12,89,84,55,25,1,11,1473,60,43,10,80,70,11,4
Stocky,Manchester City,Manchester City,2021,5'8,153079,10,28-07-2011,,S. Agüero,Argentina,Yes,ST,Right,€119.3M,€64.5M,€300K,154lbs,High/ Medium,88,30,65,86,91,89,90,70,82,89,23,93,73,Low,13,15,6,11,14,77,24,4,81,64,83,30,1,89,83,92,89,90,81,88,4,12,2107,80,76,20,73,83,85,4
Normal,Juventus,Europe league,2020,6'2,138956,3,01-07-2005,,G. Chiellini,Italy,Yes,LCB,Left,€44.6M,€27M,€215K,187lbs,Medium/ High,63,33,92,54,55,57,84,58,60,58,24,33,31,Low,3,3,2,4,3,83,88,4,89,59,49,93,1,89,50,28,89,82,59,78,2,90,1841,75,65,93,89,50,45,3
Lean,Paris Saint-Germain,Europe league,2022,5'10,231747,10,01-07-2018,,K. Mbappé,France,Yes,RM,Right,€166.1M,€81M,€100K,161lbs,High/ Medium,96,19,62,92,83,91,86,77,77,90,25,88,63,High,13,5,7,11,6,77,38,3,75,73,78,34,1,88,70,88,95,87,82,79,5,32,2118,96,83,34,71,82,78,4
PLAYER_BODY_TYPE_25,Liverpool,Liverpool,2023,5'9,209331,10,01-07-2017,,M. Salah,Egypt,Yes,RM,Left,€137.3M,€69.5M,€255K,157lbs,High/ Medium,94,26,63,91,88,88,91,78,83,89,26,90,60,Low,14,14,9,11,14,59,55,3,68,72,83,38,1,88,61,90,89,91,82,77,4,41,2146,91,84,43,70,82,73,3
Normal,Real Madrid,Europe league,2021,6'1,200145,14,11-07-2013,,Casemiro,BRAZIL,Yes,CDM,Right,€126.4M,€59.5M,€285K,185lbs,Medium/ High,59,26,87,62,66,78,84,52,59,69,27,59,74,Low,13,14,16,12,12,76,87,3,88,82,79,88,1,88,66,69,90,84,85,86,2,87,2170,65,87,90,89,77,53,3
Normal,FC Bayern München,FC Bayern München,30-Jun-19,5'11,198710,10,,Real Madrid,J. Rodríguez,COLOMBIANA,Yes,LAM,Left,,€69.5M,€315K,172lbs,Medium/ Medium,73,26,64,83,76,90,87,90,89,85,28,83,86,Low,15,15,15,5,14,62,55,4,54,83,92,52,1,88,81,80,89,85,89,86,4,44,2171,67,70,41,68,89,90,3
Normal,Napoli,Napoli,2022,5'4,198219,10,01-07-2010,,L. Insigne,Italy,Yes,LW,Right,€105.4M,€62M,€165K,130lbs,High/ Medium,94,27,34,94,93,93,83,86,87,90,29,77,77,High,8,4,14,9,10,56,26,3,53,78,84,51,1,88,61,83,88,83,85,75,4,22,2017,86,75,24,44,87,74,3
Normal,Real Madrid,Europe league,2022,5'9,197781,22,03-07-2013,,Isco,Spain,Yes,LW,Right,€156.2M,€73.5M,€315K,174lbs,High/ Medium,75,26,58,87,90,95,86,75,88,94,30,79,76,Low,10,8,12,15,6,55,64,3,64,83,87,60,1,88,76,78,91,77,89,69,4,51,2137,69,70,64,59,89,65,3
Lean,Tottenham Hotspur,Tottenham Hotspur,2020,5'11,190460,10,30-08-2013,,C. Eriksen,Denmark,Yes,CAM,Right,€141.5M,€73.5M,€205K,168lbs,High/ Medium,75,26,46,79,81,91,88,88,86,84,31,80,87,Low,9,14,7,7,6,52,56,3,50,88,89,59,1,88,67,83,91,88,91,84,4,22,2117,73,92,57,58,91,77,5
Normal,FC Barcelona,Europe league,2023,5'8,189242,7,06-01-2018,,Coutinho,BRAZIL,Yes,LW,Right,€147.7M,€69.5M,€340K,150lbs,High/ High,89,26,59,92,93,92,85,79,91,91,32,79,86,Low,12,7,9,14,6,48,49,3,59,83,93,55,1,88,70,84,89,83,88,83,5,47,2175,75,79,54,61,90,75,4
Lean,Arsenal,Europe league,2021,6'2,188567,14,31-01-2018,,P. Aubameyang,Gabon,Yes,LM,Right,€112.1M,€59M,€265K,176lbs,Medium/ Low,93,29,43,76,70,82,86,77,80,79,33,88,74,Low,6,9,15,9,9,79,48,3,79,64,79,27,1,88,76,90,88,87,77,82,4,36,2069,95,76,25,76,77,86,4
Normal,FC Bayern München,FC Bayern München,2021,6'3,178603,5,01-07-2016,,M. Hummels,Germany,Yes,LCB,Right,€75.9M,€46M,€160K,203lbs,High/ Medium,53,29,69,63,60,81,91,64,65,68,34,55,53,Low,15,6,10,5,6,87,92,4,68,85,51,88,1,88,68,56,88,87,81,71,3,88,2038,64,66,90,84,79,60,3
Normal,Real Madrid,Europe league,2022,5'9,176676,12,01-01-2007,,Marcelo,BRAZIL,Yes,LB,Left,€88.2M,€43M,€285K,176lbs,High/ Low,83,30,84,86,86,92,86,90,85,90,35,70,67,High,12,5,5,5,9,75,85,4,76,76,70,71,1,88,59,85,88,88,84,83,5,86,2279,82,91,85,78,82,54,4
Lean,Real Madrid,Europe league,2022,6'1,173731,11,02-09-2013,,G. Bale,Wales,Yes,ST,Left,€123M,€60M,€355K,181lbs,High/ Medium,94,28,65,82,65,85,86,87,90,87,36,86,87,Low,15,15,11,5,6,84,59,4,87,80,91,54,1,88,76,85,88,85,85,92,4,52,2279,95,75,55,80,79,85,3
Lean,Tottenham Hotspur,Tottenham Hotspur,2022,6'2,167948,1,01-08-2012,,H. Lloris,France,Yes,GK,Left,€66.6M,€36M,€150K,181lbs,Medium/ Medium,65,31,31,55,54,34,65,13,11,10,37,10,10,High,88,84,68,83,92,10,27,4,74,50,14,29,1,88,40,10,88,85,50,23,1,18,1335,62,41,10,43,30,11,1
Normal,Milan,Milan,30-Jun-19,6'1,167664,9,,Juventus,G. Higuaín,Argentina,Yes,LS,Right,,€57M,€245K,196lbs,High/ Medium,73,30,50,75,69,85,86,68,74,84,38,92,62,Low,5,12,7,5,10,80,20,4,79,59,80,35,1,88,70,92,88,86,75,86,3,18,1965,73,70,22,85,74,90,4
Normal,Paris Saint-Germain,Europe league,2020,6'0,164240,2,01-07-2012,,Thiago Silva,BRAZIL,Yes,RCB,Right,€44.4M,€24M,€165K,181lbs,Medium/ High,70,33,76,68,68,80,81,60,61,62,39,38,64,Low,9,12,5,9,10,81,89,4,90,80,68,88,1,88,60,59,88,82,80,71,2,85,2077,72,74,89,82,72,63,3
Normal,Inter,Inter,2021,6'4,162835,1,01-07-2012,,S. Handanovič,Slovenia,Yes,GK,Right,€51M,€30M,€110K,203lbs,Medium/ Medium,51,33,25,47,36,16,69,12,12,12,40,10,14,High,87,86,69,89,89,10,22,3,78,34,19,25,1,88,23,12,88,83,36,22,1,13,1262,55,41,10,71,41,12,2
Normal,Paris Saint-Germain,Europe league,2019,6'4,1179,1,06-07-2018,,G. Buffon,Italy,Yes,GK,Right,€7.4M,€4M,€77K,203lbs,Medium/ Medium,49,40,38,55,49,28,70,13,20,26,41,15,13,Low,88,87,74,90,83,13,28,4,75,35,13,13,1,88,22,12,88,79,37,39,1,11,1334,43,39,11,69,50,17,2
Normal,FC Barcelona,Europe league,2023,6'0,205600,23,12-07-2016,,S. Umtiti,France,Yes,CB,Left,€121.1M,€57M,€205K,165lbs,Medium/ High,71,24,81,68,66,77,82,69,72,69,42,51,62,High,15,10,14,12,15,79,87,3,89,73,74,90,1,87,61,58,92,82,81,83,2,86,2147,73,78,89,84,58,70,3
Normal,Inter,Inter,2021,5'11,201399,9,09-07-2013,,M. Icardi,Argentina,Yes,ST,Right,€114.5M,€64.5M,€130K,165lbs,Medium/ Low,77,25,56,76,76,81,85,46,58,77,43,91,45,Low,13,9,5,7,9,91,22,3,94,54,70,45,1,87,82,92,90,88,73,84,3,20,1940,78,72,24,76,64,85,4
Normal,Napoli,Napoli,2021,6'2,201024,26,01-07-2014,,K. Koulibaly,Senegal,Yes,LCB,Right,€90.5M,€51M,€115K,196lbs,High/ High,68,27,87,50,40,60,78,30,28,66,44,19,28,Low,7,11,7,13,5,81,88,3,81,56,15,91,1,87,33,24,90,80,66,55,2,86,1660,75,71,88,94,43,14,3
Normal,Manchester United,Manchester United,2021,6'4,195864,6,09-08-2016,,P. Pogba,France,Yes,RDM,Right,€123.2M,€64M,€210K,185lbs,High/ Low,71,25,78,74,64,90,87,80,84,87,45,73,82,Low,5,6,2,4,3,73,66,4,83,90,81,66,1,87,81,81,91,81,86,90,5,68,2247,79,88,70,89,87,85,4
Normal,Real Madrid,Europe league,2020,6'1,193041,1,03-08-2014,,K. Navas,Costa Rica,Yes,GK,Right,€62.5M,€30.5M,€195K,176lbs,Medium/ Medium,54,31,32,60,61,19,67,11,11,16,46,15,15,High,90,81,75,82,90,11,20,3,74,37,13,28,1,87,25,16,87,84,30,21,1,14,1345,53,39,14,75,68,11,3
Stocky,Manchester United,Manchester United,2022,6'3,192505,9,10-07-2017,,R. Lukaku,Belgium,Yes,ST,Left,€120.3M,€62.5M,€230K,207lbs,Medium/ Medium,77,25,75,60,46,72,83,78,74,80,47,87,66,Low,8,15,14,7,10,86,27,3,71,73,74,30,1,87,78,89,89,86,77,88,3,30,2031,90,84,30,94,76,79,3
Normal,Lazio,Lazio,2023,6'1,192387,17,27-07-2016,,C. Immobile,Italy,Yes,ST,Right,€88.4M,€52M,€115K,187lbs,High/ Medium,78,28,77,77,63,83,81,55,70,83,48,90,51,Low,6,8,15,12,6,81,40,3,77,49,80,34,1,87,78,91,87,87,74,86,3,32,2009,85,80,33,76,65,87,4
Normal,FC Barcelona,Europe league,2020,5'7,189332,18,01-07-2012,,Jordi Alba,Spain,Yes,LB,Left,€77.9M,€38M,€250K,150lbs,High/ Medium,93,29,75,90,85,84,79,87,80,80,49,73,63,Low,13,15,13,6,13,70,84,3,81,74,66,72,1,87,59,79,87,83,84,64,3,85,2230,93,91,84,61,70,60,3
Normal,Napoli,Napoli,2020,5'7,175943,14,01-07-2013,,D. Mertens,Belgium,Yes,RF,Right,€76.5M,€45M,€135K,134lbs,High/ Low,93,31,59,94,92,89,81,77,82,91,50,86,79,Low,7,10,8,10,4,35,36,3,60,74,81,25,1,87,79,87,87,88,82,80,4,40,2043,85,75,40,42,83,70,4
Normal,Tottenham Hotspur,Tottenham Hotspur,2019,6'2,172871,5,01-07-2012,,J. Vertonghen,Belgium,Yes,LCB,Left,€62.9M,€34M,€155K,190lbs,High/ High,61,31,84,61,60,76,83,68,58,71,51,56,73,Low,6,10,9,12,7,80,89,3,85,74,66,90,1,87,66,60,87,84,79,80,3,88,2079,65,75,87,79,68,52,3
Normal,Napoli,Napoli,2020,6'0,171877,17,01-07-2007,,M. Hamšík,Slovakia,Yes,LCM,Right,€79.1M,€46.5M,€125K,174lbs,High/ Medium,69,30,56,76,66,87,84,78,80,86,52,79,72,High,8,6,4,14,14,74,72,3,71,83,83,75,1,87,70,88,87,88,88,82,3,62,2188,68,84,73,67,86,79,5
Normal,FC Barcelona,Europe league,2021,6'0,168651,4,01-07-2014,,I. Rakitić,Croatia,Yes,RCM,Right,€95.3M,€46.5M,€260K,172lbs,High/ High,66,30,67,72,66,87,81,84,88,84,53,83,84,Low,14,11,12,5,9,58,75,4,39,90,90,72,1,87,82,79,87,77,87,84,3,70,2184,59,84,74,66,86,80,3
Normal,FC Barcelona,Europe league,2022,6'4,152729,3,01-07-2008,,Piqué,Spain,Yes,RCB,Right,€69.7M,€34M,€240K,187lbs,High/ Medium,49,31,72,58,36,78,86,57,58,59,54,64,43,Low,10,11,14,15,8,83,88,4,74,80,51,91,1,87,69,58,87,84,81,62,2,84,1950,60,65,86,83,62,57,3
Lean,Manchester City,Manchester City,2021,6'0,222492,19,02-08-2016,,L. Sané,Germany,Yes,LW,Left,€125.1M,€61M,€195K,165lbs,High/ Medium,93,22,61,88,81,85,78,83,82,88,55,81,68,High,8,12,9,9,14,72,34,2,64,64,78,36,1,86,71,84,92,81,79,86,4,35,2090,96,79,32,70,82,85,3
Lean,Manchester City,Manchester City,2022,5'8,218667,11,01-07-2017,,Bernardo Silva,Portugal,Yes,RW,Left,€114.5M,€59.5M,€180K,141lbs,High/ Medium,84,23,58,90,88,91,85,85,83,92,56,75,67,Low,9,10,14,12,9,51,49,2,50,79,72,49,1,86,68,83,91,82,85,70,4,35,2039,74,78,44,48,86,69,3
Normal,Manchester City,Manchester City,2025,6'2,210257,31,01-07-2017,,Ederson,BRAZIL,Yes,GK,Left,€79.9M,€41.5M,€125K,190lbs,Medium/ Medium,64,24,35,60,48,37,70,20,15,23,57,14,20,High,85,80,91,82,87,14,25,2,58,58,18,28,1,86,17,20,90,86,56,42,1,8,1463,63,41,15,68,67,18,3
Lean,Liverpool,Liverpool,2023,5'9,208722,10,01-07-2016,,S. Mané,Senegal,Yes,LM,Right,€102.7M,€52M,€195K,152lbs,High/ Medium,95,26,73,91,86,86,80,73,74,87,58,84,64,High,10,10,15,7,14,62,35,3,75,71,74,42,1,86,71,87,87,86,79,82,4,38,2110,93,84,42,67,82,71,4
Normal,Liverpool,Liverpool,2023,6'4,203376,4,01-01-2018,,V. van Dijk,Netherlands,Yes,LCB,Right,€87.9M,€44.5M,€165K,203lbs,Medium/ Medium,74,26,81,61,49,73,83,53,60,70,59,52,70,High,13,10,13,11,11,82,86,3,85,78,64,88,1,86,62,41,88,85,76,81,2,84,2046,77,71,89,92,59,45,3
Lean,Manchester City,Manchester City,2023,5'7,202652,10,14-07-2015,,R. Sterling,England,Yes,RW,Right,€108.8M,€56.5M,€195K,152lbs,High/ Medium,95,23,38,93,93,87,77,77,70,88,60,77,63,Low,15,12,12,15,9,38,30,3,57,69,73,47,1,86,69,87,89,87,84,73,4,54,2036,92,78,58,52,77,67,3
Lean,Liverpool,Liverpool,2023,5'11,201942,9,06-07-2015,,Roberto Firmino,BRAZIL,Yes,CAM,Right,€104.7M,€53M,€195K,168lbs,High/ High,78,26,73,80,81,88,87,72,80,87,61,87,65,Low,8,11,9,6,10,77,58,3,81,75,76,60,1,86,72,87,87,86,86,81,4,42,2187,77,90,64,74,85,81,4
Lean,Real Madrid,Europe league,2022,6'3,201535,4,01-07-2011,,R. Varane,France,Yes,RCB,Right,€106.3M,€50M,€210K,179lbs,Medium/ High,83,25,77,63,40,77,82,36,46,57,62,40,54,High,11,11,9,5,14,83,82,3,79,76,53,87,1,86,43,44,91,83,75,52,2,87,1895,85,73,88,84,56,42,3
Normal,Paris Saint-Germain,Europe league,2021,5'5,199556,6,18-07-2012,,M. Verratti,Italy,Yes,LCM,Right,€105.9M,€55M,€135K,132lbs,Medium/ High,69,25,89,87,94,88,93,72,73,90,63,60,64,Low,12,12,15,15,10,55,84,3,64,89,58,78,1,86,64,71,89,85,90,56,4,80,2149,62,77,83,52,87,64,4
Normal,Juventus,Europe league,2020,5'11,191043,12,21-08-2015,,Alex Sandro,BRAZIL,Yes,LB,Left,€60.2M,€36.5M,€160K,176lbs,High/ High,83,27,82,79,78,81,82,84,78,80,64,55,59,Low,7,7,9,12,5,76,82,3,79,71,72,81,1,86,60,70,86,84,81,80,3,84,2198,86,92,84,79,70,68,3
Normal,Juventus,Europe league,2022,5'8,190483,11,01-07-2018,,Douglas Costa,BRAZIL,Yes,LM,Left,€76.7M,€46.5M,€175K,154lbs,High/ Medium,97,27,55,93,91,91,84,84,84,92,65,67,78,Low,13,15,9,12,5,50,48,3,61,68,80,45,1,86,77,76,86,84,84,86,5,34,2111,93,78,38,63,84,76,3
Lean,FC Bayern München,FC Bayern München,2021,6'1,189596,13,10-08-2008,,T. Müller,Germany,Yes,CAM,Right,€74.3M,€45M,€135K,165lbs,High/ High,73,28,57,75,72,82,83,79,81,75,66,87,59,High,6,7,11,14,14,82,58,4,81,72,80,44,1,86,60,92,86,91,83,78,3,44,2097,75,87,41,68,85,84,4
Normal,FC Bayern München,FC Bayern München,2021,5'9,189509,19,14-07-2013,,Thiago,Spain,Yes,CM,Right,€75.1M,€45.5M,€130K,154lbs,Medium/ Medium,78,27,57,90,86,90,85,72,85,90,67,69,77,High,6,11,7,9,13,54,78,3,75,87,79,67,1,86,75,79,86,84,90,75,5,65,2190,69,75,63,59,86,90,3
Lean,Borussia Dortmund,Borussia Dortmund,2023,5'11,188350,11,01-07-2012,,M. Reus,Germany,Yes,LM,Right,€74M,€43.5M,€100K,157lbs,High/ Medium,86,29,49,86,81,86,84,79,89,87,68,87,84,Low,12,12,13,13,11,49,50,4,70,75,86,47,1,86,89,88,86,87,86,88,4,45,2172,85,73,36,67,86,90,4
Normal,Chelsea,Europe league,2022,5'10,184432,14,24-08-2012,,Azpilicueta,Spain,Yes,RB,Right,€64.8M,€35M,€175K,168lbs,Medium/ Medium,76,28,82,72,73,77,78,81,68,69,69,46,58,Low,13,9,10,6,5,76,89,3,76,80,60,88,1,86,66,62,86,88,81,68,2,86,2114,76,87,90,71,74,51,3
Lean,Juventus,Europe league,2023,6'3,184344,19,02-08-2018,,L. Bonucci,Italy,Yes,RCB,Right,€49.5M,€30M,€160K,187lbs,Low/ High,57,31,82,60,52,75,86,44,56,69,70,48,61,High,2,2,3,2,4,86,90,3,85,85,65,90,1,86,70,38,86,84,77,74,2,80,1978,65,71,86,83,74,58,3
Normal,Tottenham Hotspur,Tottenham Hotspur,2020,6'1,184087,2,08-07-2015,,T. Alderweireld,Belgium,Yes,RCB,Right,€75.1M,€39M,€150K,179lbs,Medium/ Medium,61,29,80,60,50,74,81,64,63,62,71,45,69,High,16,6,14,16,14,82,87,3,84,85,65,90,1,86,58,58,87,86,79,78,2,86,2047,66,74,91,79,67,38,3
Normal,Juventus,Europe league,2023,5'10,180206,5,01-07-2016,,M. Pjanić,Bosnia Herzegovina,Yes,CDM,Right,€72.6M,€44M,€180K,159lbs,Medium/ Medium,66,28,70,77,79,89,86,80,86,86,72,60,92,High,7,7,13,7,8,60,78,3,61,85,82,75,1,86,79,70,86,84,89,78,3,70,2182,66,78,74,66,88,72,4
Normal,Juventus,Europe league,2020,6'2,177509,4,26-08-2014,,M. Benatia,Morocco,Yes,CB,Right,€49.5M,€30M,€160K,207lbs,Medium/ High,65,31,86,59,53,64,82,45,34,64,73,47,27,High,7,4,8,7,11,83,86,3,85,65,24,89,1,86,41,38,86,82,65,66,2,85,1803,75,69,87,91,47,44,3
Lean,Arsenal,Europe league,2021,5'11,176635,10,02-09-2013,,M. Özil,Germany,Yes,CAM,Left,€82.7M,€43.5M,€190K,168lbs,Medium/ Low,72,29,48,79,70,90,82,83,84,84,74,73,77,Low,6,14,10,6,14,54,24,4,48,82,75,24,1,86,67,83,86,84,89,70,4,19,1911,69,69,16,57,91,80,2
